county_fips,county_name,state_name,cbsa_code,cbsa_title,central_or_outlying,in_modern_msa
13213,Murray County,Georgia,19140,"Dalton, GA",Outlying,True
13313,Whitfield County,Georgia,19140,"Dalton, GA",Central,True
01003,Baldwin County,Alabama,19300,"Daphne-Fairhope-Foley, AL",Central,True
17073,Henry County,Illinois,19340,"Davenport-Moline-Rock Island, IA-IL",Outlying,True
17131,Mercer County,Illinois,19340,"Davenport-Moline-Rock Island, IA-IL",Outlying,True
17161,Rock Island County,Illinois,19340,"Davenport-Moline-Rock Island, IA-IL",Central,True
19163,Scott County,Iowa,19340,"Davenport-Moline-Rock Island, IA-IL",Central,True
39057,Greene County,Ohio,19430,"Dayton-Kettering-Beavercreek, OH",Central,True
39109,Miami County,Ohio,19430,"Dayton-Kettering-Beavercreek, OH",Outlying,True
39113,Montgomery County,Ohio,19430,"Dayton-Kettering-Beavercreek, OH",Central,True
01079,Lawrence County,Alabama,19460,"Decatur, AL",Outlying,True
01103,Morgan County,Alabama,19460,"Decatur, AL",Central,True
17115,Macon County,Illinois,19500,"Decatur, IL",Central,True
12035,Flagler County,Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Central,True
12127,Volusia County,Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Central,True
08001,Adams County,Colorado,19740,"Denver-Aurora-Centennial, CO",Central,True
08005,Arapahoe County,Colorado,19740,"Denver-Aurora-Centennial, CO",Central,True
08014,Broomfield County,Colorado,19740,"Denver-Aurora-Centennial, CO",Central,True
08019,Clear Creek County,Colorado,19740,"Denver-Aurora-Centennial, CO",Outlying,True
08031,Denver County,Colorado,19740,"Denver-Aurora-Centennial, CO",Central,True
08035,Douglas County,Colorado,19740,"Denver-Aurora-Centennial, CO",Central,True
08039,Elbert County,Colorado,19740,"Denver-Aurora-Centennial, CO",Outlying,True
08047,Gilpin County,Colorado,19740,"Denver-Aurora-Centennial, CO",Outlying,True
08059,Jefferson County,Colorado,19740,"Denver-Aurora-Centennial, CO",Central,True
08093,Park County,Colorado,19740,"Denver-Aurora-Centennial, CO",Outlying,True
19049,Dallas County,Iowa,19780,"Des Moines-West Des Moines, IA",Central,True
19077,Guthrie County,Iowa,19780,"Des Moines-West Des Moines, IA",Outlying,True
19099,Jasper County,Iowa,19780,"Des Moines-West Des Moines, IA",Outlying,True
19121,Madison County,Iowa,19780,"Des Moines-West Des Moines, IA",Outlying,True
19153,Polk County,Iowa,19780,"Des Moines-West Des Moines, IA",Central,True
19181,Warren County,Iowa,19780,"Des Moines-West Des Moines, IA",Outlying,True
26163,Wayne County,Michigan,19820,"Detroit-Warren-Dearborn, MI",Central,True
