county_fips,county_name,state_name,in_msa_1950,in_msa_1960,in_msa_1970,in_msa_1980,in_msa_1990,in_msa_2000,in_msa_2010,in_msa_2020,first_msa_decade
08059,Jefferson,Colorado,True,True,True,True,True,True,True,True,1950
08061,Kiowa,Colorado,False,False,False,False,False,False,False,False,0
08063,Kit Carson,Colorado,False,False,False,False,False,False,False,False,0
08065,Lake,Colorado,False,False,False,False,False,False,False,False,0
08067,La Plata,Colorado,False,False,False,False,False,False,False,False,0
08069,Larimer,Colorado,False,False,False,True,True,True,True,True,1980
08071,Las Animas,Colorado,False,False,False,False,False,False,False,False,0
08073,Lincoln,Colorado,False,False,False,False,False,False,False,False,0
08075,Logan,Colorado,False,False,False,False,False,False,False,False,0
08077,Mesa,Colorado,False,False,False,False,False,True,True,True,2000
08079,Mineral,Colorado,False,False,False,False,False,False,False,False,0
08081,Moffat,Colorado,False,False,False,False,False,False,False,False,0
08083,Montezuma,Colorado,False,False,False,False,False,False,False,False,0
08085,Montrose,Colorado,False,False,False,False,False,False,False,False,0
08087,Morgan,Colorado,False,False,False,False,False,False,False,False,0
08089,Otero,Colorado,False,False,False,False,False,False,False,False,0
08091,Ouray,Colorado,False,False,False,False,False,False,False,False,0
08093,Park,Colorado,False,False,False,False,False,False,True,True,2010
08095,Phillips,Colorado,False,False,False,False,False,False,False,False,0
08097,Pitkin,Colorado,False,False,False,False,False,False,False,False,0
08099,Prowers,Colorado,False,False,False,False,False,False,False,False,0
08101,Pueblo,Colorado,True,True,True,True,True,True,True,True,1950
08103,Rio Blanco,Colorado,False,False,False,False,False,False,False,False,0
08105,Rio Grande,Colorado,False,False,False,False,False,False,False,False,0
08107,Routt,Colorado,False,False,False,False,False,False,False,False,0
08109,Saguache,Colorado,False,False,False,False,False,False,False,False,0
08111,San Juan,Colorado,False,False,False,False,False,False,False,False,0
08113,San Miguel,Colorado,False,False,False,False,False,False,False,False,0
08115,Sedgwick,Colorado,False,False,False,False,False,False,False,False,0
08117,Summit,Colorado,False,False,False,False,False,False,False,False,0
08119,Teller,Colorado,False,False,True,False,False,False,True,True,1970
08121,Washington,Colorado,False,False,False,False,False,False,False,False,0
08123,Weld,Colorado,False,False,False,True,True,True,True,True,1980
08125,Yuma,Colorado,False,False,False,False,False,False,False,False,0
09001,Fairfield,Connecticut,True,True,True,True,True,True,True,True,1950
09003,Hartford,Connecticut,True,True,True,True,True,True,True,True,1950
09005,Litchfield,Connecticut,True,True,True,True,True,True,False,True,1950
09007,Middlesex,Connecticut,False,True,True,True,True,True,True,True,1960
09009,New Haven,Connecticut,True,True,True,True,True,True,True,True,1950
09011,New London,Connecticut,False,True,True,True,True,True,True,True,1960
09013,Tolland,Connecticut,False,True,True,True,True,True,True,True,1960
09015,Windham,Connecticut,False,False,False,True,True,True,True,True,1980
10001,Kent,Delaware,False,False,False,False,True,True,True,True,1990
10003,New Castle,Delaware,True,True,True,True,True,True,True,True,1950
10005,Sussex,Delaware,False,False,False,False,False,False,True,False,2010
11001,District Of Columbia,District Of Columbia,True,True,True,True,True,True,True,True,1950
12001,Alachua,Florida,False,False,True,True,True,True,True,True,1970
12003,Baker,Florida,False,False,True,False,False,False,True,True,1970
12005,Bay,Florida,False,False,False,True,True,True,True,True,1980
12007,Bradford,Florida,False,False,False,True,False,False,False,False,1980
12009,Brevard,Florida,False,False,True,True,True,True,True,True,1970
12011,Broward,Florida,False,True,True,True,True,True,True,True,1960
12013,Calhoun,Florida,False,False,False,False,False,False,False,False,0
12015,Charlotte,Florida,False,False,False,False,True,True,True,True,1990
