year,MET2013,n_unweighted,n_movers_unweighted,mover_rate,mover_avg_bedrooms,mover_avg_rooms,mover_median_burden,nonmover_median_burden,mover_avg_trantime,CBSA_Name,zori_name
2022,14740,263,70,26.3593609070996,3.4849077355493097,5.027007210069657,29.336842105263155,28.285714285714285,38.85877551020408,"Bremerton-Silverdale, WA","Bremerton, WA"
2022,14860,846,166,20.191594449369493,2.8493795080865554,3.9037229514806686,37.36178467507275,31.16883116883117,29.77250267094017,"Bridgeport-Stamford-Norwalk, CT","Bridgeport, CT"
2022,15180,354,66,20.401121414707784,2.669720460418135,3.286351891003054,32.72727272727273,30.0,15.671679728871002,"Brownsville-Harlingen, TX","Brownsville, TX"
2022,15380,1276,210,16.476657498101982,2.913396532839823,4.234543188427692,31.680000000000003,29.268292682926827,19.851354022534096,"Buffalo-Cheektowaga-Niagara Falls, NY","Buffalo, NY"
2022,15500,181,45,25.128288011636833,3.2781797716674705,4.801736613603473,35.12195121951219,24.576,25.129995793016406,"Burlington, NC","Burlington, NC"
2022,15940,361,51,18.639199317804408,3.0522513845412953,4.835781362870215,24.0,23.217391304347824,22.00776119402985,"Canton-Massillon, OH","Canton, OH"
2022,15980,695,141,20.586359205189616,3.0134463607132416,4.420520315697164,34.67889908256881,33.111111111111114,26.873388855839778,"Cape Coral-Fort Myers, FL","Cape Coral, FL"
2022,16620,178,42,27.258750113050557,2.8578301260783014,4.112309223623092,34.714285714285715,26.481675392670155,13.890888950429243,"Charleston, WV","Charleston, WV"
2022,16700,745,224,27.54727059074885,3.058013727847365,4.279132896420677,34.74,30.830769230769228,24.748880091676217,"Charleston-North Charleston, SC","Charleston, SC"
2022,16740,2681,697,24.87925137289535,3.0495455911939504,4.2783918784543165,30.153846153846153,29.724770642201836,24.20041624479694,"Charlotte-Concord-Gastonia, NC-SC","Charlotte, NC"
2022,16860,528,137,28.05987855704541,2.853526924788607,4.1061971517578995,32.313341493268055,25.938864628820962,24.930908472847793,"Chattanooga, TN-GA","Chattanooga, TN"
2022,16980,7626,1614,22.437039515793217,2.592829248335627,3.70249191058876,30.830769230769228,29.401088929219597,30.36397713207992,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL"
2022,17020,296,70,28.50365625188856,3.163362662991625,4.6386091381320895,38.08988764044944,33.79061371841155,22.316573033707865,"Chico, CA","Chico, CA"
2022,17140,1743,408,23.021954976814197,2.8244057753865013,4.132874753115848,32.592592592592595,27.76,21.227678690447625,"Cincinnati, OH-KY-IN","Cincinnati, OH"
2022,17300,316,97,32.24977425852608,3.3563787780888794,4.616268217388183,34.146341463414636,27.169811320754718,23.97843794920939,"Clarksville, TN-KY","Clarksville, TN"
2022,17420,118,25,18.73898413715751,2.881145788798632,4.407011543394613,30.76923076923077,30.146341463414632,17.05255402750491,"Cleveland, TN","Cleveland, TN"
2022,17460,2025,424,24.374956112956934,2.8350365406192193,4.183203444825181,31.555555555555554,28.999999999999996,22.546337423774748,"Cleveland-Elyria, OH","Cleveland, OH"
2022,17660,132,33,24.112903225806452,3.3081103678929766,4.8137541806020065,38.54014598540146,28.799999999999997,20.193413173652694,"Coeur d'Alene, ID","Coeur d'Alene, ID"
2022,17780,429,167,41.27827103282823,3.2608414882519496,4.371764939645323,42.66666666666667,32.69230769230769,16.19048423899265,"College Station-Bryan, TX","College Station, TX"
2022,17820,740,220,31.71564130638495,3.1804808260504465,4.580412403197213,34.22053231939163,30.5,20.356379130155158,"Colorado Springs, CO","Colorado Springs, CO"
2022,17900,678,184,30.587778209468837,3.0925784794048266,4.371692977681001,34.334277620396605,33.28,29.706462752836703,"Columbia, SC","Columbia, SC"
2022,18140,2382,609,25.881019793652932,2.871686739516019,4.110439948897957,31.363636363636367,27.64227642276423,24.278787997800645,"Columbus, OH","Columbus, OH"
2022,18580,470,114,27.84892663679529,2.9093474215044726,4.050849492705769,37.66,34.54545454545455,19.2702133836551,"Corpus Christi, TX","Corpus Christi, TX"
2022,18700,159,47,30.905907528694637,3.2570289550986153,4.420898027696182,47.92382967468923,35.42857142857142,13.724619810933005,"Corvallis, OR","Corvallis, OR"
2022,18880,338,102,31.828848987611195,3.3412208504801097,4.387602880658436,35.259445843828715,30.443478260869565,25.348340203948794,"Crestview-Fort Walton Beach-Destin, FL","Crestview, FL"
2022,19100,8311,2159,26.383642283544777,2.7339411306821706,3.83516797663413,33.61714285714286,30.94736842105263,25.054485602936168,"Dallas-Fort Worth-Arlington, TX","Dallas, TX"
2022,19300,117,27,18.899833580713356,2.988100904331271,4.793431699190862,30.352941176470587,30.0,,"Daphne-Fairhope-Foley, AL","Daphne, AL"
2022,19380,783,183,26.975826344351255,3.0189532486533217,4.350103079071624,26.8,28.08,19.25992258064516,"Dayton, OH","Dayton, OH"
2022,19660,516,110,23.273392978415565,3.1318827708703374,4.5074854097944685,32.50883392226148,34.61538461538461,30.20814714745921,"Deltona-Daytona Beach-Ormond Beach, FL","Deltona, FL"
2022,19740,3349,1057,31.844270699518447,2.806016328766312,3.9757659198069564,31.0,30.36734693877551,25.359119792892447,"Denver-Aurora-Lakewood, CO","Denver, CO"
2022,19780,350,108,33.3502024291498,2.6475003075913546,3.6017717262026823,30.748010610079575,28.253968253968253,21.01375515818432,"Des Moines-West Des Moines, IA","Des Moines, IA"
2022,19820,2718,535,19.860829287921984,2.8005474786882067,4.157949756975504,29.53629976580796,30.420907840440165,24.842692754464935,"Detroit-Warren-Dearborn, MI","Detroit, MI"
2022,20020,352,64,15.387126256691474,3.271107339838778,4.815019092066186,26.5,27.085714285714285,23.278557114228455,"Dothan, AL","Dothan, AL"
2022,20100,124,23,16.54470057324064,3.6457795798009585,5.081828234426834,28.641975308641975,33.152542372881356,18.993427230046947,"Dover, DE","Dover, DE"
2022,20940,151,16,11.425377305757406,3.4398238747553815,4.710861056751468,20.96969696969697,33.76623376623377,39.676,"El Centro, CA","El Centro, CA"
2022,21140,152,28,23.524200317075444,3.161546085232904,4.735381565906838,24.208695652173915,29.71764705882353,15.308718861209965,"Elkhart-Goshen, IN","Elkhart, IN"
2022,21340,856,183,23.67108844184763,3.071678391959799,4.098532663316583,36.46153846153846,32.625,21.556498289923706,"El Paso, TX","El Paso, TX"
